SR807,白砂糖807,CZCE,20180713,
CF709,棉花709,CZCE,20170914,
TA709,化纤709,CZCE,20170914,
SR811,白砂糖811,CZCE,20181114,
CF805,棉花805,CZCE,20180515,
SR805,白砂糖805,CZCE,20180515,
TA805,化纤805,CZCE,20180515,
TA712,化纤712,CZCE,20171214,
CF711,棉花711,CZCE,20171114,
TA711,化纤711,CZCE,20171114,
TA710,化纤710,CZCE,20171020,
TA804,化纤804,CZCE,20180413,
CF801,棉花801,CZCE,20180115,
TA801,化纤801,CZCE,20180115,
SR803,白砂糖803,CZCE,20180314,
bu1803,沥青1803,SHFE,20180315,
SR711,白砂糖711,CZCE,20171114,
bu1712,沥青1712,SHFE,20171215,
a1711,黄大豆1号1711,DCE,20171114,
jd1804,鲜鸡蛋1804,DCE,20180425,
fu1807,燃料油1807,SHFE,20180629,
sc1807,原油1807,INE,20180629,
ag1802,白银1802,SHFE,20180215,
al1802,铝1802,SHFE,20180215,
cu1802,铜1802,SHFE,20180215,
hc1802,热轧板1802,SHFE,20180215,
ni1802,镍1802,SHFE,20180215,
pb1802,铅1802,SHFE,20180215,
rb1802,螺纹钢1802,SHFE,20180215,
sn1802,锡1802,SHFE,20180215,
wr1802,线材1802,SHFE,20180215,
zn1802,锌1802,SHFE,20180215,
fu1806,燃料油1806,SHFE,20180531,
ZC804,动力煤ZC804,CZCE,20180406,
ZC802,动力煤ZC802,CZCE,20180207,
T1803,10年国债1803,CFFEX,20180309,
TF1803,5年国债1803,CFFEX,20180309,
cu1805,铜1805,SHFE,20180515,
hc1805,热轧板1805,SHFE,20180515,
ni1805,镍1805,SHFE,20180515,
pb1805,铅1805,SHFE,20180515,
rb1805,螺纹钢1805,SHFE,20180515,
ru1805,天然橡胶1805,SHFE,20180515,
sn1805,锡1805,SHFE,20180515,
wr1805,线材1805,SHFE,20180515,
zn1805,锌1805,SHFE,20180515,
ZC805,动力煤ZC805,CZCE,20180508,
jd1807,鲜鸡蛋1807,DCE,20180726,
TA802,化纤802,CZCE,20180214,
FG802,玻璃802,CZCE,20180214,
MA802,甲醇MA802,CZCE,20180214,
SF802,硅铁802,CZCE,20180214,
SM802,锰硅802,CZCE,20180214,
bb1802,胶合板1802,DCE,20180214,
fb1802,纤维板1802,DCE,20180214,
i1802,铁矿石1802,DCE,20180214,
j1802,焦炭1802,DCE,20180214,
jd1802,鲜鸡蛋1802,DCE,20180223,
jm1802,焦煤1802,DCE,20180214,
l1802,聚乙烯1802,DCE,20180214,
p1802,棕榈油1802,DCE,20180214,
pp1802,聚丙烯1802,DCE,20180214,
v1802,聚氯乙烯1802,DCE,20180214,
fu1803,燃料油1803,SHFE,20180228,
sc2006,原油2006,INE,20200529,
ag1808,白银1808,SHFE,20180815,
al1808,铝1808,SHFE,20180815,
au1711,黄金1711,SHFE,20171115,
bu1802,沥青1802,SHFE,20180215,
cu1808,铜1808,SHFE,20180815,
hc1808,热轧板1808,SHFE,20180815,
ni1808,镍1808,SHFE,20180815,
pb1808,铅1808,SHFE,20180815,
rb1808,螺纹钢1808,SHFE,20180815,
ru1808,天然橡胶1808,SHFE,20180815,
sn1808,锡1808,SHFE,20180815,
wr1808,线材1808,SHFE,20180815,
zn1808,锌1808,SHFE,20180815,
ag1804,白银1804,SHFE,20180416,
al1804,铝1804,SHFE,20180416,
bu1710,沥青1710,SHFE,20171016,
cu1804,铜1804,SHFE,20180416,
hc1804,热轧板1804,SHFE,20180416,
ni1804,镍1804,SHFE,20180416,
pb1804,铅1804,SHFE,20180416,
rb1804,螺纹钢1804,SHFE,20180416,
ru1804,天然橡胶1804,SHFE,20180416,
sn1804,锡1804,SHFE,20180416,
wr1804,线材1804,SHFE,20180416,
zn1804,锌1804,SHFE,20180416,
IC1803,中证500股指1803,CFFEX,20180316,
IF1803,沪深300股指1803,CFFEX,20180316,
IH1803,上证50股指1803,CFFEX,20180316,
ZC806,动力煤ZC806,CZCE,20180607,
sc1808,原油1808,INE,20180731,
ZC808,动力煤ZC808,CZCE,20180807,
jd1708,鲜鸡蛋1708,DCE,20170828,
ag1806,白银1806,SHFE,20180615,
al1806,铝1806,SHFE,20180615,
au1709,黄金1709,SHFE,20170915,
bu1906,沥青1906,SHFE,20190617,
cu1806,铜1806,SHFE,20180615,
hc1806,热轧板1806,SHFE,20180615,
ni1806,镍1806,SHFE,20180615,
pb1806,铅1806,SHFE,20180615,
rb1806,螺纹钢1806,SHFE,20180615,
ru1806,天然橡胶1806,SHFE,20180615,
sn1806,锡1806,SHFE,20180615,
wr1806,线材1806,SHFE,20180615,
zn1806,锌1806,SHFE,20180615,
ag1803,白银1803,SHFE,20180315,
al1803,铝1803,SHFE,20180315,
au1804,黄金1804,SHFE,20180416,
bu1903,沥青1903,SHFE,20190315,
cu1803,铜1803,SHFE,20180315,
hc1803,热轧板1803,SHFE,20180315,
ni1803,镍1803,SHFE,20180315,
pb1803,铅1803,SHFE,20180315,
rb1803,螺纹钢1803,SHFE,20180315,
ru1803,天然橡胶1803,SHFE,20180315,
